,Timestamp,Product_Category,Customer_ID,Customer_Segment,Purchase_History,Competitor_Price,Seasonality,Economic_Indicator,Sentiment,Price,Dynamic_Pricing_Strategy,Revenue,Profitability,Price_Elasticity
3356,2023-11-09,Health & Beauty,Customer_332,Regular,6,636.91,High,1.67,0.75,283.89,Dynamic Markdowns,457.56,0.32,-1.7
30584,2023-11-20,Health & Beauty,Customer_332,Regular,1,413.19,Low,0.89,0.82,119.9,Dynamic Markdowns,7820.57,0.29,-1.54
4556,2023-11-23,Clothing,Customer_332,Inactive,3,311.74,Medium,1.62,0.88,654.43,Dynamic Markdowns,1419.1,0.26,-1.96
49349,2023-11-27,Home Appliances,Customer_332,Inactive,10,255.52,Medium,2.0,0.05,301.16,Dynamic Markdowns,1051.07,0.21,-1.74
29430,2023-12-01,Clothing,Customer_332,Inactive,1,477.07,High,1.34,0.06,179.29,Discounting,457.7,0.12,-1.44
13758,2023-12-07,Clothing,Customer_332,Inactive,5,496.74,High,1.57,0.63,865.72,Personalized Pricing,9133.34,0.39,-1.1
47347,2023-12-07,Books,Customer_332,Inactive,5,398.38,Low,1.55,0.85,522.92,Personalized Pricing,9720.13,0.21,-0.53
17137,2023-12-08,Electronics,Customer_332,Premium,10,847.41,High,1.33,0.09,634.03,Dynamic Markdowns,5084.57,0.45,-1.43
19653,2023-12-13,Health & Beauty,Customer_332,New,3,326.44,Medium,1.02,0.21,820.6,Personalized Pricing,2194.38,0.23,-0.6
20698,2023-12-16,Home Appliances,Customer_332,Inactive,10,163.12,Medium,1.81,0.94,221.68,Personalized Pricing,7077.42,0.34,-1.28
46030,2023-12-16,Electronics,Customer_332,Inactive,3,910.2,Low,1.06,0.37,273.72,Dynamic Bundling,8270.24,0.31,-1.98
24879,2023-12-17,Electronics,Customer_332,Premium,3,226.24,Low,1.88,0.37,852.54,Dynamic Bundling,9468.76,0.19,-0.55
26018,2023-12-21,Health & Beauty,Customer_332,New,10,503.62,Low,1.29,0.49,811.86,Discounting,346.11,0.41,-0.74
30267,2023-12-27,Electronics,Customer_332,New,9,646.4,Low,0.87,0.13,22.67,Personalized Pricing,7999.53,0.42,-1.68
31183,2023-12-27,Home Appliances,Customer_332,New,4,220.24,High,1.46,0.19,269.13,Dynamic Bundling,7115.08,0.21,-0.52
48815,2023-12-31,Home Appliances,Customer_332,Inactive,6,449.72,Low,1.47,0.12,594.82,Dynamic Markdowns,858.56,0.38,-0.81
19124,2024-01-10,Books,Customer_332,Inactive,2,315.2,Medium,1.8,0.29,791.39,Dynamic Markdowns,9314.79,0.47,-1.93
35283,2024-01-11,Clothing,Customer_332,Inactive,7,203.21,High,1.48,0.07,348.44,Personalized Pricing,1760.36,0.34,-1.76
49213,2024-01-21,Health & Beauty,Customer_332,Inactive,9,357.8,High,0.62,0.71,337.6,Discounting,6147.99,0.35,-0.99
39823,2024-01-30,Electronics,Customer_332,Regular,8,498.07,High,1.84,0.44,923.48,Discounting,9824.52,0.13,-0.54
49032,2024-02-02,Clothing,Customer_332,Inactive,9,166.93,Low,1.78,0.01,196.93,Discounting,2891.53,0.26,-0.54
23024,2024-02-19,Clothing,Customer_332,New,6,257.63,High,1.37,0.43,649.84,Dynamic Markdowns,5440.01,0.13,-1.1
23275,2024-02-27,Home Appliances,Customer_332,Premium,2,661.14,Medium,1.57,0.18,33.67,Personalized Pricing,5715.2,0.2,-0.56
40034,2024-02-29,Books,Customer_332,New,1,948.17,Medium,1.15,0.22,872.26,Personalized Pricing,7443.1,0.38,-1.41
40592,2024-03-29,Books,Customer_332,Inactive,10,931.73,High,1.66,0.57,918.76,Dynamic Bundling,803.52,0.23,-0.93
24006,2024-04-03,Home Appliances,Customer_332,New,1,760.05,Medium,1.22,0.2,202.83,Dynamic Bundling,8219.16,0.25,-0.94
967,2024-04-04,Electronics,Customer_332,Premium,10,76.14,Medium,1.67,0.77,449.47,Dynamic Markdowns,8429.48,0.33,-0.61
2056,2024-04-04,Electronics,Customer_332,Inactive,2,268.76,High,0.56,0.1,44.43,Dynamic Bundling,9146.75,0.34,-0.98
12382,2024-04-05,Books,Customer_332,Premium,1,842.97,Medium,0.97,0.12,356.41,Personalized Pricing,7034.7,0.2,-1.75
13307,2024-04-09,Books,Customer_332,Inactive,8,462.69,High,1.92,0.91,537.13,Dynamic Bundling,9007.07,0.35,-0.95
9370,2024-04-12,Electronics,Customer_332,New,9,485.51,Low,0.87,0.18,235.09,Discounting,7500.54,0.41,-1.13
22076,2024-04-14,Books,Customer_332,New,2,369.28,Low,0.64,0.66,713.14,Dynamic Markdowns,6239.45,0.19,-0.67
306,2024-04-18,Electronics,Customer_332,Premium,4,185.8,High,1.41,0.36,308.68,Dynamic Markdowns,8455.74,0.14,-1.96
